Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2015-02-14,Christchurch,1,0,0,Sri Lanka,Sri Lanka,0,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,2,0,0,Sri Lanka,Sri Lanka,0,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,3,0,0,Sri Lanka,Sri Lanka,0,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,4,1,0,Sri Lanka,Sri Lanka,1,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,5,3,0,Sri Lanka,Sri Lanka,3,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,6,3,0,Sri Lanka,Sri Lanka,3,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,7,7,0,Sri Lanka,Sri Lanka,6,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,8,7,0,Sri Lanka,Sri Lanka,5,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,9,8,0,Sri Lanka,Sri Lanka,5,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,10,8,0,Sri Lanka,Sri Lanka,4,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,11,12,0,Sri Lanka,Sri Lanka,6,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,12,13,0,Sri Lanka,Sri Lanka,6,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,13,13,0,Sri Lanka,Sri Lanka,6,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,14,13,0,Sri Lanka,Sri Lanka,5,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,15,13,0,Sri Lanka,Sri Lanka,5,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,16,13,0,Sri Lanka,Sri Lanka,4,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,17,13,0,Sri Lanka,Sri Lanka,4,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,18,13,0,Sri Lanka,Sri Lanka,4,New Zealand,Sri Lanka,New Zealand
2015-02-14,Christchurch,19,14,0,Sri Lanka,Sri Lanka,4,New Zealand,Sri Lanka,New Zealand
