Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2012-07-24,Hambantota,1,1,0,India,Sri Lanka,6,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,2,3,0,India,Sri Lanka,9,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,3,3,0,India,Sri Lanka,6,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,4,4,0,India,Sri Lanka,6,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,5,4,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,6,4,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,6,5,0,India,Sri Lanka,5,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,6,5,0,India,Sri Lanka,5,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,6,6,0,India,Sri Lanka,6,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,1,6,0,India,Sri Lanka,36,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,7,6,0,India,Sri Lanka,5,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,8,6,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,9,7,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,10,7,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,11,9,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,12,10,0,India,Sri Lanka,5,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,13,10,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,14,10,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,15,10,0,India,Sri Lanka,4,India,Sri Lanka,Sri Lanka
2012-07-24,Hambantota,16,10,0,India,Sri Lanka,3,India,Sri Lanka,Sri Lanka
