Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2012-07-05,Jamaica,1,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,2,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,3,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,4,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,5,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,6,0,0,West Indies,West Indies,0.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,7,4,0,West Indies,West Indies,3.4285714285714284,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,8,5,0,West Indies,West Indies,3.75,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,9,5,0,West Indies,West Indies,3.3333333333333335,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,10,5,0,West Indies,West Indies,3.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,11,5,0,West Indies,West Indies,2.727272727272727,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,12,5,0,West Indies,West Indies,2.5,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,13,5,0,West Indies,West Indies,2.3076923076923075,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,14,5,0,West Indies,West Indies,2.142857142857143,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,15,5,0,West Indies,West Indies,2.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,16,6,0,West Indies,West Indies,2.25,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,17,6,0,West Indies,West Indies,2.1176470588235294,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,18,6,1,West Indies,West Indies,2.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,19,6,1,West Indies,West Indies,1.894736842105263,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,20,6,1,West Indies,West Indies,1.8,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,21,7,1,West Indies,West Indies,2.0,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,22,7,1,West Indies,West Indies,1.9090909090909092,New Zealand,West Indies,West Indies
2012-07-05,Jamaica,23,9,1,West Indies,West Indies,2.347826086956522,New Zealand,West Indies,West Indies
