Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2012-02-20,No Info,1,0,0,Ireland,Ireland,0,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,2,0,0,Ireland,Ireland,0,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,3,1,0,Ireland,Ireland,2,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,4,1,0,Ireland,Ireland,1,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,5,2,0,Ireland,Ireland,2,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,6,3,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,6,4,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,7,5,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,8,7,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,9,7,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,10,7,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,11,7,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,12,7,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,13,8,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,14,8,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,15,8,0,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,16,13,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,17,17,0,Ireland,Ireland,6,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,18,17,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,19,17,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,20,17,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,21,17,0,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,22,21,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,23,21,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,24,21,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,25,22,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,26,23,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,27,24,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,28,24,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,29,28,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,30,28,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,31,29,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,32,30,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,33,30,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,34,31,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,35,31,0,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,36,31,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,37,32,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,38,36,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,39,36,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,40,36,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,41,37,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,42,37,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,42,37,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,43,38,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,44,38,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,45,38,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,46,38,1,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,47,38,1,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,48,39,1,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,49,40,1,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,50,46,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,51,46,1,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,52,46,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,53,47,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,54,47,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,55,47,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,56,47,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,57,48,2,Ireland,Ireland,5,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,58,48,2,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,59,48,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,60,48,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,61,49,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,62,49,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,63,49,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,64,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,65,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,66,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,67,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,68,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,69,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,70,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,71,51,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,72,52,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,73,52,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,74,53,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,75,53,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,76,53,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,77,54,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,78,54,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,79,54,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,80,54,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,81,58,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,82,58,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,83,59,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,84,59,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,85,59,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,86,60,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,87,60,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,88,60,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,89,60,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,90,60,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,91,60,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,92,64,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,93,64,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,94,65,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,95,66,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,96,66,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,97,66,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,98,66,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,99,66,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,100,66,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,101,66,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,102,66,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,103,67,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,104,71,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,105,71,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,106,71,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,107,71,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,108,72,3,Ireland,Ireland,4,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,109,72,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,110,73,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,111,73,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,112,73,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,113,73,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,114,74,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,115,74,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,116,75,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,117,76,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,118,76,3,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,119,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,120,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,121,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,122,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,123,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,124,76,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,125,80,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,126,80,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,127,80,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,128,80,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,129,80,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,130,81,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,131,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,132,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,133,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,134,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,135,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,136,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,137,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,138,85,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,139,87,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,140,87,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,141,87,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,142,87,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,143,88,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,144,88,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,145,88,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,146,89,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,147,89,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,148,89,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,149,93,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,150,94,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,151,94,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,152,95,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,153,95,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,154,95,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,155,95,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,156,96,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,157,96,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,158,98,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,159,99,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,160,100,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,161,101,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,162,105,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,163,105,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,164,106,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,165,107,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,166,107,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,167,107,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,168,108,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,169,108,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,170,109,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,171,110,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,172,111,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,173,111,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,174,111,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,175,111,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,176,112,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
2012-02-20,No Info,177,113,4,Ireland,Ireland,3,Ireland,Kenya,Ireland,-inf
