Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2007-02-11,Cape Town,54,57,0,South Africa,South Africa,6.333333333333333,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,55,57,0,South Africa,South Africa,6.218181818181818,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,56,58,0,South Africa,South Africa,6.214285714285714,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,57,59,0,South Africa,South Africa,6.2105263157894735,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,58,60,0,South Africa,South Africa,6.206896551724138,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,59,60,0,South Africa,South Africa,6.101694915254237,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,60,64,0,South Africa,South Africa,6.4,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,61,64,0,South Africa,South Africa,6.295081967213115,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,62,65,0,South Africa,South Africa,6.290322580645161,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,63,69,0,South Africa,South Africa,6.571428571428571,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,64,75,0,South Africa,South Africa,7.03125,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,65,76,0,South Africa,South Africa,7.015384615384615,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,66,76,0,South Africa,South Africa,6.909090909090909,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,67,76,0,South Africa,South Africa,6.8059701492537314,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,68,76,0,South Africa,South Africa,6.705882352941177,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,69,76,0,South Africa,South Africa,6.608695652173913,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,70,77,0,South Africa,South Africa,6.6,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,71,81,0,South Africa,South Africa,6.845070422535211,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,72,85,0,South Africa,South Africa,7.083333333333333,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,73,86,0,South Africa,South Africa,7.068493150684931,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,74,86,0,South Africa,South Africa,6.972972972972973,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,75,87,0,South Africa,South Africa,6.96,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,76,90,0,South Africa,South Africa,7.105263157894737,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,77,94,0,South Africa,South Africa,7.324675324675325,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,78,100,0,South Africa,South Africa,7.6923076923076925,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,79,100,0,South Africa,South Africa,7.594936708860759,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,80,101,0,South Africa,South Africa,7.575,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,81,105,0,South Africa,South Africa,7.777777777777778,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,82,106,0,South Africa,South Africa,7.7560975609756095,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,83,107,0,South Africa,South Africa,7.734939759036145,Pakistan,South Africa,South Africa,20.41
2007-02-11,Cape Town,84,113,0,South Africa,South Africa,8.071428571428571,Pakistan,South Africa,South Africa,20.41
