Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2012-07-14,St Kitts,1,0,0,West Indies,New Zealand,0.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,2,6,0,West Indies,New Zealand,18.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,3,7,0,West Indies,New Zealand,14.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,4,7,0,West Indies,New Zealand,10.5,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,5,8,0,West Indies,New Zealand,9.6,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,6,8,0,West Indies,New Zealand,8.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,6,8,1,West Indies,New Zealand,8.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,7,9,1,West Indies,New Zealand,7.714285714285714,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,8,9,1,West Indies,New Zealand,6.75,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,9,9,1,West Indies,New Zealand,6.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,10,9,1,West Indies,New Zealand,5.4,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,11,13,1,West Indies,New Zealand,7.090909090909091,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,12,13,1,West Indies,New Zealand,6.5,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,13,13,1,West Indies,New Zealand,6.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,14,13,1,West Indies,New Zealand,5.571428571428571,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,15,13,1,West Indies,New Zealand,5.2,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,16,14,1,West Indies,New Zealand,5.25,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,17,14,1,West Indies,New Zealand,4.9411764705882355,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,18,14,1,West Indies,New Zealand,4.666666666666667,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,19,18,1,West Indies,New Zealand,5.684210526315789,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,20,20,1,West Indies,New Zealand,6.0,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,21,24,1,West Indies,New Zealand,6.857142857142857,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,22,25,1,West Indies,New Zealand,6.818181818181818,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,23,26,1,West Indies,New Zealand,6.782608695652174,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,24,27,1,West Indies,New Zealand,6.75,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,25,28,1,West Indies,New Zealand,6.72,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,26,29,1,West Indies,New Zealand,6.6923076923076925,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,27,30,1,West Indies,New Zealand,6.666666666666667,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,28,34,1,West Indies,New Zealand,7.285714285714286,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,29,34,1,West Indies,New Zealand,7.0344827586206895,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,30,36,1,West Indies,New Zealand,7.2,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,30,42,1,West Indies,New Zealand,8.4,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,31,42,1,West Indies,New Zealand,8.129032258064516,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,32,42,1,West Indies,New Zealand,7.875,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,33,42,1,West Indies,New Zealand,7.636363636363637,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,34,45,1,West Indies,New Zealand,7.9411764705882355,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,35,45,1,West Indies,New Zealand,7.714285714285714,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,36,45,1,West Indies,New Zealand,7.5,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,37,46,1,West Indies,New Zealand,7.45945945945946,West Indies,New Zealand,West Indies,30.04
2012-07-14,St Kitts,38,50,1,West Indies,New Zealand,7.894736842105263,West Indies,New Zealand,West Indies,30.04
