Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2015-04-19,Mirpur,1,1,0,Pakistan,Pakistan,6,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,2,5,0,Pakistan,Pakistan,15,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,3,5,0,Pakistan,Pakistan,10,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,4,5,0,Pakistan,Pakistan,7,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,5,5,0,Pakistan,Pakistan,6,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,6,5,0,Pakistan,Pakistan,5,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,6,6,0,Pakistan,Pakistan,6,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,7,6,0,Pakistan,Pakistan,5,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,8,6,0,Pakistan,Pakistan,4,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,9,6,0,Pakistan,Pakistan,4,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,10,6,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,11,6,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,12,6,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,13,7,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,14,7,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,15,8,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,16,9,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,17,9,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,18,9,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,19,10,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
2015-04-19,Mirpur,20,10,0,Pakistan,Pakistan,3,Pakistan,Bangladesh,Bangladesh,-inf
