Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2015-10-13,No Info,1,0,0,Ireland,Ireland,0,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,2,2,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,3,6,0,Ireland,Ireland,12,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,4,10,0,Ireland,Ireland,15,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,5,15,0,Ireland,Ireland,18,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,6,16,0,Ireland,Ireland,16,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,6,18,0,Ireland,Ireland,18,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,7,19,0,Ireland,Ireland,16,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,8,19,0,Ireland,Ireland,14,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,9,19,0,Ireland,Ireland,12,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,10,19,0,Ireland,Ireland,11,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,11,22,0,Ireland,Ireland,12,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,12,22,0,Ireland,Ireland,11,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,13,22,0,Ireland,Ireland,10,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,14,22,0,Ireland,Ireland,9,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,15,22,0,Ireland,Ireland,8,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,16,22,0,Ireland,Ireland,8,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,17,23,0,Ireland,Ireland,8,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,18,24,0,Ireland,Ireland,8,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,19,24,0,Ireland,Ireland,7,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,20,24,0,Ireland,Ireland,7,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,21,24,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,22,25,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,23,25,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,24,29,0,Ireland,Ireland,7,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,25,29,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,26,29,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,27,31,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,28,31,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,29,31,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,30,31,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,31,31,0,Ireland,Ireland,6,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,32,31,0,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,33,31,0,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,34,31,0,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,35,31,0,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,36,31,0,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,37,31,1,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,38,31,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,39,31,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,40,31,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,41,32,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,42,32,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,42,36,1,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,43,36,1,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,44,37,1,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,45,38,1,Ireland,Ireland,5,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,46,38,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,47,38,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,48,38,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,48,39,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,49,39,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,50,39,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,51,39,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,52,40,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,53,40,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,54,40,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,55,40,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,56,41,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,57,41,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,58,41,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,59,41,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,60,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,61,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,62,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,63,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,64,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,65,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,66,45,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,67,46,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,68,46,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,69,46,1,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,70,46,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,71,50,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,72,50,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,73,50,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,74,50,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,75,50,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,76,51,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,77,51,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,78,53,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,79,54,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,80,54,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,81,54,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,82,54,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,83,54,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,84,54,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,85,55,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,86,56,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,87,56,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,88,59,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,89,59,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,90,60,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,91,60,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,92,63,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,93,63,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,94,64,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,95,64,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,96,64,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,97,64,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,98,64,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,99,65,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,100,68,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,101,68,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,102,68,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,102,68,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,103,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,104,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,105,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,106,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,107,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,108,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,109,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,110,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,111,68,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,112,72,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,113,72,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,114,72,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,115,74,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,116,74,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,117,78,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,118,78,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,119,78,2,Ireland,Ireland,3,Zimbabwe,Ireland,Ireland,-inf
2015-10-13,No Info,120,82,2,Ireland,Ireland,4,Zimbabwe,Ireland,Ireland,-inf
