Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2013-11-27,Port Elizabeth,1,0,0,South Africa,South Africa,0.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,2,0,0,South Africa,South Africa,0.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,3,0,0,South Africa,South Africa,0.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,4,0,0,South Africa,South Africa,0.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,5,1,0,South Africa,South Africa,1.2,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,6,1,0,South Africa,South Africa,1.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,7,1,0,South Africa,South Africa,0.8571428571428571,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,8,1,0,South Africa,South Africa,0.75,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,9,1,0,South Africa,South Africa,0.6666666666666666,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,10,1,0,South Africa,South Africa,0.6,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,11,1,0,South Africa,South Africa,0.5454545454545454,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,12,1,0,South Africa,South Africa,0.5,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,13,2,0,South Africa,South Africa,0.9230769230769231,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,14,2,0,South Africa,South Africa,0.8571428571428571,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,15,2,0,South Africa,South Africa,0.8,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,16,2,0,South Africa,South Africa,0.75,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,17,3,0,South Africa,South Africa,1.0588235294117647,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,18,3,0,South Africa,South Africa,1.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,19,3,0,South Africa,South Africa,0.9473684210526315,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,20,3,0,South Africa,South Africa,0.9,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,21,7,0,South Africa,South Africa,2.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,22,8,0,South Africa,South Africa,2.1818181818181817,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,23,8,0,South Africa,South Africa,2.0869565217391304,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,24,8,0,South Africa,South Africa,2.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,25,9,0,South Africa,South Africa,2.16,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,26,9,0,South Africa,South Africa,2.076923076923077,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,27,9,1,South Africa,South Africa,2.0,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,28,9,1,South Africa,South Africa,1.9285714285714286,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,29,9,1,South Africa,South Africa,1.8620689655172413,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,30,9,1,South Africa,South Africa,1.8,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,31,9,1,South Africa,South Africa,1.7419354838709677,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,32,9,1,South Africa,South Africa,1.6875,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,33,10,1,South Africa,South Africa,1.8181818181818181,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,34,10,1,South Africa,South Africa,1.7647058823529411,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,35,14,1,South Africa,South Africa,2.4,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,36,15,1,South Africa,South Africa,2.5,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,37,15,1,South Africa,South Africa,2.4324324324324325,Pakistan,South Africa,Pakistan,-2998687221.02
2013-11-27,Port Elizabeth,38,15,1,South Africa,South Africa,2.3684210526315788,Pakistan,South Africa,Pakistan,-2998687221.02
