Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2007-03-20,St Kitts,1,0,0,South Africa,South Africa,0,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,2,0,0,South Africa,South Africa,0,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,3,4,0,South Africa,South Africa,8,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,4,4,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,5,8,0,South Africa,South Africa,9,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,6,8,0,South Africa,South Africa,8,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,7,9,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,8,9,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,9,10,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,10,10,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,11,10,0,South Africa,South Africa,5,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,12,14,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,13,14,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,14,15,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,15,15,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,16,19,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,17,19,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,18,19,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,19,23,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,20,23,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,21,25,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,22,29,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,23,30,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,24,31,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,25,31,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,26,31,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,27,31,0,South Africa,South Africa,6,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,28,35,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,29,35,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,30,39,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,31,40,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,32,41,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,33,45,0,South Africa,South Africa,8,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,34,45,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
2007-03-20,St Kitts,35,45,0,South Africa,South Africa,7,Scotland,South Africa,South Africa,nan
