Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference
2007-04-18,Grenada,1,1,0,Sri Lanka,Sri Lanka,6,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,2,1,0,Sri Lanka,Sri Lanka,3,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,3,1,0,Sri Lanka,Sri Lanka,2,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,4,1,0,Sri Lanka,Sri Lanka,1,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,5,1,0,Sri Lanka,Sri Lanka,1,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,6,1,0,Sri Lanka,Sri Lanka,1,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,6,1,1,Sri Lanka,Sri Lanka,1,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,7,2,1,Sri Lanka,Sri Lanka,1,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,8,6,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,9,7,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,10,7,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,11,7,1,Sri Lanka,Sri Lanka,3,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,12,8,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,12,10,1,Sri Lanka,Sri Lanka,5,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,12,11,1,Sri Lanka,Sri Lanka,5,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,13,12,1,Sri Lanka,Sri Lanka,5,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,14,12,1,Sri Lanka,Sri Lanka,5,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,15,12,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,16,13,1,Sri Lanka,Sri Lanka,4,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,17,19,1,Sri Lanka,Sri Lanka,6,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,18,20,1,Sri Lanka,Sri Lanka,6,Ireland,Sri Lanka,Sri Lanka,-inf
2007-04-18,Grenada,18,22,1,Sri Lanka,Sri Lanka,7,Ireland,Sri Lanka,Sri Lanka,-inf
