Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2013-11-01,No Info,1,0,0,Pakistan,Pakistan,0.0,Pakistan,South Africa,Pakistan
2013-11-01,No Info,2,0,0,Pakistan,Pakistan,0.0,Pakistan,South Africa,Pakistan
2013-11-01,No Info,3,0,0,Pakistan,Pakistan,0.0,Pakistan,South Africa,Pakistan
2013-11-01,No Info,4,1,0,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,5,2,0,Pakistan,Pakistan,2.4,Pakistan,South Africa,Pakistan
2013-11-01,No Info,6,2,0,Pakistan,Pakistan,2.0,Pakistan,South Africa,Pakistan
2013-11-01,No Info,7,2,0,Pakistan,Pakistan,1.7142857142857142,Pakistan,South Africa,Pakistan
2013-11-01,No Info,8,2,0,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,9,2,0,Pakistan,Pakistan,1.3333333333333333,Pakistan,South Africa,Pakistan
2013-11-01,No Info,10,2,0,Pakistan,Pakistan,1.2,Pakistan,South Africa,Pakistan
2013-11-01,No Info,11,3,0,Pakistan,Pakistan,1.6363636363636365,Pakistan,South Africa,Pakistan
2013-11-01,No Info,12,3,0,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,13,3,0,Pakistan,Pakistan,1.3846153846153846,Pakistan,South Africa,Pakistan
2013-11-01,No Info,14,3,0,Pakistan,Pakistan,1.2857142857142858,Pakistan,South Africa,Pakistan
2013-11-01,No Info,15,3,0,Pakistan,Pakistan,1.2,Pakistan,South Africa,Pakistan
2013-11-01,No Info,16,4,0,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,17,4,1,Pakistan,Pakistan,1.411764705882353,Pakistan,South Africa,Pakistan
2013-11-01,No Info,18,4,1,Pakistan,Pakistan,1.3333333333333333,Pakistan,South Africa,Pakistan
2013-11-01,No Info,19,4,1,Pakistan,Pakistan,1.263157894736842,Pakistan,South Africa,Pakistan
2013-11-01,No Info,20,5,1,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,21,5,1,Pakistan,Pakistan,1.4285714285714286,Pakistan,South Africa,Pakistan
2013-11-01,No Info,22,5,1,Pakistan,Pakistan,1.3636363636363635,Pakistan,South Africa,Pakistan
2013-11-01,No Info,23,5,1,Pakistan,Pakistan,1.3043478260869565,Pakistan,South Africa,Pakistan
2013-11-01,No Info,24,5,1,Pakistan,Pakistan,1.25,Pakistan,South Africa,Pakistan
2013-11-01,No Info,25,5,1,Pakistan,Pakistan,1.2,Pakistan,South Africa,Pakistan
2013-11-01,No Info,26,7,1,Pakistan,Pakistan,1.6153846153846154,Pakistan,South Africa,Pakistan
2013-11-01,No Info,27,7,1,Pakistan,Pakistan,1.5555555555555556,Pakistan,South Africa,Pakistan
2013-11-01,No Info,28,8,1,Pakistan,Pakistan,1.7142857142857142,Pakistan,South Africa,Pakistan
2013-11-01,No Info,29,8,1,Pakistan,Pakistan,1.6551724137931034,Pakistan,South Africa,Pakistan
2013-11-01,No Info,30,8,1,Pakistan,Pakistan,1.6,Pakistan,South Africa,Pakistan
2013-11-01,No Info,31,8,1,Pakistan,Pakistan,1.5483870967741935,Pakistan,South Africa,Pakistan
2013-11-01,No Info,32,8,1,Pakistan,Pakistan,1.5,Pakistan,South Africa,Pakistan
2013-11-01,No Info,33,8,1,Pakistan,Pakistan,1.4545454545454546,Pakistan,South Africa,Pakistan
2013-11-01,No Info,34,8,1,Pakistan,Pakistan,1.411764705882353,Pakistan,South Africa,Pakistan
2013-11-01,No Info,35,8,1,Pakistan,Pakistan,1.3714285714285714,Pakistan,South Africa,Pakistan
2013-11-01,No Info,36,8,1,Pakistan,Pakistan,1.3333333333333333,Pakistan,South Africa,Pakistan
2013-11-01,No Info,37,12,1,Pakistan,Pakistan,1.945945945945946,Pakistan,South Africa,Pakistan
2013-11-01,No Info,38,13,1,Pakistan,Pakistan,2.0526315789473686,Pakistan,South Africa,Pakistan
2013-11-01,No Info,39,13,1,Pakistan,Pakistan,2.0,Pakistan,South Africa,Pakistan
2013-11-01,No Info,40,15,1,Pakistan,Pakistan,2.25,Pakistan,South Africa,Pakistan
