Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2015-03-14,Auckland,1,0,0,India,Zimbabwe,0.0,Zimbabwe,India,India
2015-03-14,Auckland,2,0,0,India,Zimbabwe,0.0,Zimbabwe,India,India
2015-03-14,Auckland,3,1,0,India,Zimbabwe,2.0,Zimbabwe,India,India
2015-03-14,Auckland,4,2,0,India,Zimbabwe,3.0,Zimbabwe,India,India
2015-03-14,Auckland,5,2,0,India,Zimbabwe,2.4,Zimbabwe,India,India
2015-03-14,Auckland,6,3,0,India,Zimbabwe,3.0,Zimbabwe,India,India
2015-03-14,Auckland,6,3,0,India,Zimbabwe,3.0,Zimbabwe,India,India
2015-03-14,Auckland,7,3,0,India,Zimbabwe,2.5714285714285716,Zimbabwe,India,India
2015-03-14,Auckland,8,3,0,India,Zimbabwe,2.25,Zimbabwe,India,India
2015-03-14,Auckland,9,4,0,India,Zimbabwe,2.6666666666666665,Zimbabwe,India,India
2015-03-14,Auckland,10,4,0,India,Zimbabwe,2.4,Zimbabwe,India,India
2015-03-14,Auckland,11,4,0,India,Zimbabwe,2.1818181818181817,Zimbabwe,India,India
2015-03-14,Auckland,12,6,0,India,Zimbabwe,3.0,Zimbabwe,India,India
2015-03-14,Auckland,13,7,0,India,Zimbabwe,3.230769230769231,Zimbabwe,India,India
2015-03-14,Auckland,14,11,0,India,Zimbabwe,4.714285714285714,Zimbabwe,India,India
2015-03-14,Auckland,15,11,0,India,Zimbabwe,4.4,Zimbabwe,India,India
2015-03-14,Auckland,16,11,0,India,Zimbabwe,4.125,Zimbabwe,India,India
2015-03-14,Auckland,17,11,0,India,Zimbabwe,3.8823529411764706,Zimbabwe,India,India
2015-03-14,Auckland,18,11,0,India,Zimbabwe,3.6666666666666665,Zimbabwe,India,India
2015-03-14,Auckland,19,11,0,India,Zimbabwe,3.473684210526316,Zimbabwe,India,India
2015-03-14,Auckland,20,11,0,India,Zimbabwe,3.3,Zimbabwe,India,India
2015-03-14,Auckland,21,11,1,India,Zimbabwe,3.142857142857143,Zimbabwe,India,India
2015-03-14,Auckland,22,13,1,India,Zimbabwe,3.5454545454545454,Zimbabwe,India,India
2015-03-14,Auckland,23,13,1,India,Zimbabwe,3.391304347826087,Zimbabwe,India,India
2015-03-14,Auckland,24,13,1,India,Zimbabwe,3.25,Zimbabwe,India,India
2015-03-14,Auckland,25,13,1,India,Zimbabwe,3.12,Zimbabwe,India,India
2015-03-14,Auckland,26,13,1,India,Zimbabwe,3.0,Zimbabwe,India,India
2015-03-14,Auckland,27,13,2,India,Zimbabwe,2.888888888888889,Zimbabwe,India,India
2015-03-14,Auckland,28,13,2,India,Zimbabwe,2.7857142857142856,Zimbabwe,India,India
2015-03-14,Auckland,29,13,2,India,Zimbabwe,2.689655172413793,Zimbabwe,India,India
2015-03-14,Auckland,30,13,2,India,Zimbabwe,2.6,Zimbabwe,India,India
2015-03-14,Auckland,31,13,2,India,Zimbabwe,2.5161290322580645,Zimbabwe,India,India
2015-03-14,Auckland,32,13,2,India,Zimbabwe,2.4375,Zimbabwe,India,India
