Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2015-03-18,No Info,1,0,0,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,2,0,0,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,3,0,0,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,4,2,0,Sri Lanka,Sri Lanka,3,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,5,2,0,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,6,3,0,Sri Lanka,Sri Lanka,3,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,7,3,0,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,8,3,0,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,9,3,0,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,10,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,11,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,12,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,13,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,14,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,15,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,16,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,17,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,18,3,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,19,3,1,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,20,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,21,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,22,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,23,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,24,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,24,4,1,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,25,4,2,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,26,4,2,Sri Lanka,Sri Lanka,0,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,27,5,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,28,5,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,29,5,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,30,6,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,30,6,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,31,6,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,32,8,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,33,8,2,Sri Lanka,Sri Lanka,1,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,34,12,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,35,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,36,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,37,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,38,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,39,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,40,16,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,41,17,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,42,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,42,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,43,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,44,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,45,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
2015-03-18,No Info,46,18,2,Sri Lanka,Sri Lanka,2,Sri Lanka,South Africa,South Africa
