Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2012-07-28,Colombo,1,0,0,Sri Lanka,Sri Lanka,0.0,Sri Lanka,India,India
2012-07-28,Colombo,2,1,0,Sri Lanka,Sri Lanka,3.0,Sri Lanka,India,India
2012-07-28,Colombo,3,1,0,Sri Lanka,Sri Lanka,2.0,Sri Lanka,India,India
2012-07-28,Colombo,4,1,0,Sri Lanka,Sri Lanka,1.5,Sri Lanka,India,India
2012-07-28,Colombo,5,1,0,Sri Lanka,Sri Lanka,1.2,Sri Lanka,India,India
2012-07-28,Colombo,6,2,0,Sri Lanka,Sri Lanka,2.0,Sri Lanka,India,India
2012-07-28,Colombo,6,2,0,Sri Lanka,Sri Lanka,2.0,Sri Lanka,India,India
2012-07-28,Colombo,7,2,0,Sri Lanka,Sri Lanka,1.7142857142857142,Sri Lanka,India,India
2012-07-28,Colombo,8,3,0,Sri Lanka,Sri Lanka,2.25,Sri Lanka,India,India
2012-07-28,Colombo,9,6,0,Sri Lanka,Sri Lanka,4.0,Sri Lanka,India,India
2012-07-28,Colombo,10,6,0,Sri Lanka,Sri Lanka,3.6,Sri Lanka,India,India
2012-07-28,Colombo,11,6,0,Sri Lanka,Sri Lanka,3.272727272727273,Sri Lanka,India,India
2012-07-28,Colombo,12,6,0,Sri Lanka,Sri Lanka,3.0,Sri Lanka,India,India
2012-07-28,Colombo,13,7,0,Sri Lanka,Sri Lanka,3.230769230769231,Sri Lanka,India,India
2012-07-28,Colombo,14,8,0,Sri Lanka,Sri Lanka,3.4285714285714284,Sri Lanka,India,India
2012-07-28,Colombo,15,9,0,Sri Lanka,Sri Lanka,3.6,Sri Lanka,India,India
2012-07-28,Colombo,16,9,1,Sri Lanka,Sri Lanka,3.375,Sri Lanka,India,India
2012-07-28,Colombo,17,10,1,Sri Lanka,Sri Lanka,3.5294117647058822,Sri Lanka,India,India
2012-07-28,Colombo,18,10,1,Sri Lanka,Sri Lanka,3.3333333333333335,Sri Lanka,India,India
2012-07-28,Colombo,18,10,1,Sri Lanka,Sri Lanka,3.3333333333333335,Sri Lanka,India,India
2012-07-28,Colombo,19,11,1,Sri Lanka,Sri Lanka,3.473684210526316,Sri Lanka,India,India
2012-07-28,Colombo,20,11,1,Sri Lanka,Sri Lanka,3.3,Sri Lanka,India,India
2012-07-28,Colombo,21,12,1,Sri Lanka,Sri Lanka,3.4285714285714284,Sri Lanka,India,India
2012-07-28,Colombo,22,12,1,Sri Lanka,Sri Lanka,3.272727272727273,Sri Lanka,India,India
2012-07-28,Colombo,23,12,1,Sri Lanka,Sri Lanka,3.130434782608696,Sri Lanka,India,India
2012-07-28,Colombo,24,13,1,Sri Lanka,Sri Lanka,3.25,Sri Lanka,India,India
2012-07-28,Colombo,24,13,1,Sri Lanka,Sri Lanka,3.25,Sri Lanka,India,India
2012-07-28,Colombo,24,14,1,Sri Lanka,Sri Lanka,3.5,Sri Lanka,India,India
2012-07-28,Colombo,25,15,1,Sri Lanka,Sri Lanka,3.6,Sri Lanka,India,India
2012-07-28,Colombo,26,15,1,Sri Lanka,Sri Lanka,3.4615384615384617,Sri Lanka,India,India
2012-07-28,Colombo,27,15,1,Sri Lanka,Sri Lanka,3.3333333333333335,Sri Lanka,India,India
2012-07-28,Colombo,28,15,1,Sri Lanka,Sri Lanka,3.2142857142857144,Sri Lanka,India,India
2012-07-28,Colombo,29,19,1,Sri Lanka,Sri Lanka,3.9310344827586206,Sri Lanka,India,India
2012-07-28,Colombo,30,19,2,Sri Lanka,Sri Lanka,3.8,Sri Lanka,India,India
2012-07-28,Colombo,30,19,2,Sri Lanka,Sri Lanka,3.8,Sri Lanka,India,India
2012-07-28,Colombo,31,20,2,Sri Lanka,Sri Lanka,3.870967741935484,Sri Lanka,India,India
2012-07-28,Colombo,32,20,2,Sri Lanka,Sri Lanka,3.75,Sri Lanka,India,India
2012-07-28,Colombo,33,20,3,Sri Lanka,Sri Lanka,3.6363636363636362,Sri Lanka,India,India
2012-07-28,Colombo,34,20,3,Sri Lanka,Sri Lanka,3.5294117647058822,Sri Lanka,India,India
2012-07-28,Colombo,35,20,3,Sri Lanka,Sri Lanka,3.4285714285714284,Sri Lanka,India,India
2012-07-28,Colombo,36,20,3,Sri Lanka,Sri Lanka,3.3333333333333335,Sri Lanka,India,India
2012-07-28,Colombo,37,20,3,Sri Lanka,Sri Lanka,3.2432432432432434,Sri Lanka,India,India
2012-07-28,Colombo,38,20,3,Sri Lanka,Sri Lanka,3.1578947368421053,Sri Lanka,India,India
2012-07-28,Colombo,39,24,3,Sri Lanka,Sri Lanka,3.6923076923076925,Sri Lanka,India,India
2012-07-28,Colombo,40,24,3,Sri Lanka,Sri Lanka,3.6,Sri Lanka,India,India
2012-07-28,Colombo,41,24,3,Sri Lanka,Sri Lanka,3.5121951219512195,Sri Lanka,India,India
2012-07-28,Colombo,42,24,3,Sri Lanka,Sri Lanka,3.4285714285714284,Sri Lanka,India,India
2012-07-28,Colombo,43,25,3,Sri Lanka,Sri Lanka,3.488372093023256,Sri Lanka,India,India
2012-07-28,Colombo,44,26,3,Sri Lanka,Sri Lanka,3.5454545454545454,Sri Lanka,India,India
2012-07-28,Colombo,45,26,3,Sri Lanka,Sri Lanka,3.466666666666667,Sri Lanka,India,India
2012-07-28,Colombo,46,26,3,Sri Lanka,Sri Lanka,3.391304347826087,Sri Lanka,India,India
2012-07-28,Colombo,47,26,3,Sri Lanka,Sri Lanka,3.3191489361702127,Sri Lanka,India,India
2012-07-28,Colombo,48,26,3,Sri Lanka,Sri Lanka,3.25,Sri Lanka,India,India
2012-07-28,Colombo,49,26,3,Sri Lanka,Sri Lanka,3.183673469387755,Sri Lanka,India,India
2012-07-28,Colombo,50,26,3,Sri Lanka,Sri Lanka,3.12,Sri Lanka,India,India
2012-07-28,Colombo,51,27,3,Sri Lanka,Sri Lanka,3.176470588235294,Sri Lanka,India,India
2012-07-28,Colombo,52,27,3,Sri Lanka,Sri Lanka,3.1153846153846154,Sri Lanka,India,India
2012-07-28,Colombo,53,27,3,Sri Lanka,Sri Lanka,3.056603773584906,Sri Lanka,India,India
2012-07-28,Colombo,54,27,3,Sri Lanka,Sri Lanka,3.0,Sri Lanka,India,India
2012-07-28,Colombo,55,31,3,Sri Lanka,Sri Lanka,3.381818181818182,Sri Lanka,India,India
2012-07-28,Colombo,56,35,3,Sri Lanka,Sri Lanka,3.75,Sri Lanka,India,India
2012-07-28,Colombo,57,36,3,Sri Lanka,Sri Lanka,3.789473684210526,Sri Lanka,India,India
2012-07-28,Colombo,58,36,3,Sri Lanka,Sri Lanka,3.7241379310344827,Sri Lanka,India,India
2012-07-28,Colombo,59,40,3,Sri Lanka,Sri Lanka,4.067796610169491,Sri Lanka,India,India
2012-07-28,Colombo,60,40,3,Sri Lanka,Sri Lanka,4.0,Sri Lanka,India,India
2012-07-28,Colombo,61,41,3,Sri Lanka,Sri Lanka,4.032786885245901,Sri Lanka,India,India
2012-07-28,Colombo,62,41,3,Sri Lanka,Sri Lanka,3.967741935483871,Sri Lanka,India,India
2012-07-28,Colombo,63,43,3,Sri Lanka,Sri Lanka,4.095238095238095,Sri Lanka,India,India
2012-07-28,Colombo,64,46,3,Sri Lanka,Sri Lanka,4.3125,Sri Lanka,India,India
2012-07-28,Colombo,65,46,3,Sri Lanka,Sri Lanka,4.246153846153846,Sri Lanka,India,India
2012-07-28,Colombo,66,46,3,Sri Lanka,Sri Lanka,4.181818181818182,Sri Lanka,India,India
2012-07-28,Colombo,67,46,3,Sri Lanka,Sri Lanka,4.119402985074627,Sri Lanka,India,India
2012-07-28,Colombo,68,47,3,Sri Lanka,Sri Lanka,4.147058823529412,Sri Lanka,India,India
2012-07-28,Colombo,69,48,3,Sri Lanka,Sri Lanka,4.173913043478261,Sri Lanka,India,India
2012-07-28,Colombo,70,49,3,Sri Lanka,Sri Lanka,4.2,Sri Lanka,India,India
2012-07-28,Colombo,71,53,3,Sri Lanka,Sri Lanka,4.47887323943662,Sri Lanka,India,India
2012-07-28,Colombo,72,54,3,Sri Lanka,Sri Lanka,4.5,Sri Lanka,India,India
2012-07-28,Colombo,73,55,3,Sri Lanka,Sri Lanka,4.52054794520548,Sri Lanka,India,India
2012-07-28,Colombo,74,55,3,Sri Lanka,Sri Lanka,4.45945945945946,Sri Lanka,India,India
2012-07-28,Colombo,75,56,3,Sri Lanka,Sri Lanka,4.48,Sri Lanka,India,India
2012-07-28,Colombo,76,56,3,Sri Lanka,Sri Lanka,4.421052631578948,Sri Lanka,India,India
2012-07-28,Colombo,77,57,3,Sri Lanka,Sri Lanka,4.441558441558442,Sri Lanka,India,India
2012-07-28,Colombo,78,58,3,Sri Lanka,Sri Lanka,4.461538461538462,Sri Lanka,India,India
2012-07-28,Colombo,79,58,3,Sri Lanka,Sri Lanka,4.405063291139241,Sri Lanka,India,India
2012-07-28,Colombo,80,62,3,Sri Lanka,Sri Lanka,4.65,Sri Lanka,India,India
2012-07-28,Colombo,81,63,3,Sri Lanka,Sri Lanka,4.666666666666667,Sri Lanka,India,India
2012-07-28,Colombo,82,63,3,Sri Lanka,Sri Lanka,4.609756097560975,Sri Lanka,India,India
2012-07-28,Colombo,83,63,3,Sri Lanka,Sri Lanka,4.554216867469879,Sri Lanka,India,India
2012-07-28,Colombo,84,63,3,Sri Lanka,Sri Lanka,4.5,Sri Lanka,India,India
2012-07-28,Colombo,85,63,3,Sri Lanka,Sri Lanka,4.447058823529412,Sri Lanka,India,India
2012-07-28,Colombo,86,63,3,Sri Lanka,Sri Lanka,4.395348837209302,Sri Lanka,India,India
2012-07-28,Colombo,87,65,3,Sri Lanka,Sri Lanka,4.482758620689655,Sri Lanka,India,India
2012-07-28,Colombo,88,66,3,Sri Lanka,Sri Lanka,4.5,Sri Lanka,India,India
2012-07-28,Colombo,89,66,3,Sri Lanka,Sri Lanka,4.449438202247191,Sri Lanka,India,India
2012-07-28,Colombo,90,67,3,Sri Lanka,Sri Lanka,4.466666666666667,Sri Lanka,India,India
2012-07-28,Colombo,91,67,3,Sri Lanka,Sri Lanka,4.417582417582418,Sri Lanka,India,India
2012-07-28,Colombo,92,69,3,Sri Lanka,Sri Lanka,4.5,Sri Lanka,India,India
2012-07-28,Colombo,93,70,3,Sri Lanka,Sri Lanka,4.516129032258065,Sri Lanka,India,India
2012-07-28,Colombo,94,70,3,Sri Lanka,Sri Lanka,4.468085106382978,Sri Lanka,India,India
