Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won
2014-01-08,Hamilton,1,0,0,New Zealand,West Indies,0,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,2,0,0,New Zealand,West Indies,0,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,3,4,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,4,8,0,New Zealand,West Indies,12,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,5,8,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,6,8,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,7,9,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,8,9,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,9,10,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,10,10,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,11,10,0,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,12,10,0,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,13,14,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,14,14,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,15,20,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,16,20,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,17,20,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,18,21,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,19,21,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,20,21,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,21,21,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,22,25,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,23,25,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,24,29,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,25,33,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,26,33,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,27,33,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,28,33,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,29,33,0,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,30,37,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,31,41,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,32,45,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,33,51,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,34,51,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,35,55,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,36,56,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,37,57,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,38,59,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,39,59,0,New Zealand,West Indies,9,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,40,59,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,41,59,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,42,59,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,43,63,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,44,64,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,45,64,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,46,64,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,47,64,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,48,64,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,49,64,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,50,68,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,51,69,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,52,69,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,53,73,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,54,74,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,55,75,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,56,76,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,57,77,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,58,78,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,59,82,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,60,83,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,60,83,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,61,84,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,62,85,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,63,89,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,64,89,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,65,89,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,66,90,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,67,91,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,68,91,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,69,92,0,New Zealand,West Indies,8,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,70,93,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,71,94,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,72,95,0,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,73,95,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,74,95,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,75,95,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,76,96,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,77,97,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,78,97,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,79,98,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,80,98,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,81,98,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,82,98,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,83,98,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,84,99,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,85,99,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,86,99,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,87,100,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,88,104,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,89,105,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,90,105,1,New Zealand,West Indies,7,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,91,105,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,92,106,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,93,106,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,94,106,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,95,107,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,96,109,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,97,110,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,98,111,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,99,113,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,100,114,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,101,114,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,102,114,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,103,115,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,104,115,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,105,115,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,106,116,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,107,116,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,108,116,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,109,116,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,110,116,1,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,111,116,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,112,117,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,113,118,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,114,122,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,115,122,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,116,122,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,117,122,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,118,123,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,119,124,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,120,126,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,121,127,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,122,127,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,123,127,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,124,127,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,125,128,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,126,129,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,127,130,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,128,131,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,129,135,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,130,135,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,131,136,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,132,136,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,133,136,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,134,136,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,135,137,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,136,137,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,137,137,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,138,138,2,New Zealand,West Indies,6,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,139,138,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,140,139,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,141,140,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,142,141,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,143,142,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
2014-01-08,Hamilton,144,143,2,New Zealand,West Indies,5,West Indies,New Zealand,West Indies
