Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference,wrl
2008-04-10,Trinidad,1,0,0,West Indies,Sri Lanka,0.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,2,0,0,West Indies,Sri Lanka,0.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,3,1,0,West Indies,Sri Lanka,2.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,4,1,0,West Indies,Sri Lanka,1.5,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,5,1,0,West Indies,Sri Lanka,1.2,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,6,1,0,West Indies,Sri Lanka,1.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,7,2,0,West Indies,Sri Lanka,1.7142857142857142,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,8,2,0,West Indies,Sri Lanka,1.5,Sri Lanka,West Indies,West Indies,-5385342380.23,0.0
2008-04-10,Trinidad,9,2,1,West Indies,Sri Lanka,1.3333333333333333,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,10,2,1,West Indies,Sri Lanka,1.2,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,11,2,1,West Indies,Sri Lanka,1.0909090909090908,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,12,2,1,West Indies,Sri Lanka,1.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,13,2,1,West Indies,Sri Lanka,0.9230769230769231,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,14,2,1,West Indies,Sri Lanka,0.8571428571428571,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,15,2,1,West Indies,Sri Lanka,0.8,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,16,3,1,West Indies,Sri Lanka,1.125,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,17,3,1,West Indies,Sri Lanka,1.0588235294117647,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,18,7,1,West Indies,Sri Lanka,2.3333333333333335,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,19,7,1,West Indies,Sri Lanka,2.210526315789474,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,20,7,1,West Indies,Sri Lanka,2.1,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,21,7,1,West Indies,Sri Lanka,2.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,22,7,1,West Indies,Sri Lanka,1.9090909090909092,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,23,7,1,West Indies,Sri Lanka,1.826086956521739,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,24,8,1,West Indies,Sri Lanka,2.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,24,8,1,West Indies,Sri Lanka,2.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,25,8,1,West Indies,Sri Lanka,1.92,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,26,8,1,West Indies,Sri Lanka,1.8461538461538463,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,27,8,1,West Indies,Sri Lanka,1.7777777777777777,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,28,8,1,West Indies,Sri Lanka,1.7142857142857142,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,29,12,1,West Indies,Sri Lanka,2.4827586206896552,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,30,13,1,West Indies,Sri Lanka,2.6,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,31,14,1,West Indies,Sri Lanka,2.7096774193548385,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,32,16,1,West Indies,Sri Lanka,3.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,33,17,1,West Indies,Sri Lanka,3.090909090909091,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,34,17,1,West Indies,Sri Lanka,3.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,35,17,1,West Indies,Sri Lanka,2.914285714285714,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,36,18,1,West Indies,Sri Lanka,3.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,36,18,1,West Indies,Sri Lanka,3.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,36,20,1,West Indies,Sri Lanka,3.3333333333333335,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,36,24,1,West Indies,Sri Lanka,4.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,37,24,1,West Indies,Sri Lanka,3.891891891891892,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,38,26,1,West Indies,Sri Lanka,4.105263157894737,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,39,26,1,West Indies,Sri Lanka,4.0,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,40,26,1,West Indies,Sri Lanka,3.9,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,41,26,1,West Indies,Sri Lanka,3.8048780487804876,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,42,30,1,West Indies,Sri Lanka,4.285714285714286,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,43,30,1,West Indies,Sri Lanka,4.186046511627907,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,44,30,1,West Indies,Sri Lanka,4.090909090909091,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,45,32,1,West Indies,Sri Lanka,4.266666666666667,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,46,32,1,West Indies,Sri Lanka,4.173913043478261,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,47,33,1,West Indies,Sri Lanka,4.212765957446808,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,48,37,1,West Indies,Sri Lanka,4.625,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,48,37,1,West Indies,Sri Lanka,4.625,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,49,37,1,West Indies,Sri Lanka,4.530612244897959,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,50,37,1,West Indies,Sri Lanka,4.44,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,51,38,1,West Indies,Sri Lanka,4.470588235294118,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,52,38,1,West Indies,Sri Lanka,4.384615384615385,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,53,38,1,West Indies,Sri Lanka,4.30188679245283,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,54,38,1,West Indies,Sri Lanka,4.222222222222222,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,54,38,1,West Indies,Sri Lanka,4.222222222222222,Sri Lanka,West Indies,West Indies,-5385342380.23,0.65
2008-04-10,Trinidad,55,38,2,West Indies,Sri Lanka,4.1454545454545455,Sri Lanka,West Indies,West Indies,-5385342380.23,1.31
2008-04-10,Trinidad,56,38,2,West Indies,Sri Lanka,4.071428571428571,Sri Lanka,West Indies,West Indies,-5385342380.23,1.31
2008-04-10,Trinidad,57,38,2,West Indies,Sri Lanka,4.0,Sri Lanka,West Indies,West Indies,-5385342380.23,1.31
2008-04-10,Trinidad,58,39,2,West Indies,Sri Lanka,4.0344827586206895,Sri Lanka,West Indies,West Indies,-5385342380.23,1.31
