Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference,wrl
2014-11-16,Ranchi,1,1,0,Sri Lanka,Sri Lanka,6.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,2,1,0,Sri Lanka,Sri Lanka,3.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,3,5,0,Sri Lanka,Sri Lanka,10.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,4,9,0,Sri Lanka,Sri Lanka,13.5,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,5,9,0,Sri Lanka,Sri Lanka,10.8,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,6,13,0,Sri Lanka,Sri Lanka,13.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,7,13,0,Sri Lanka,Sri Lanka,11.142857142857142,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,8,13,0,Sri Lanka,Sri Lanka,9.75,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,9,14,0,Sri Lanka,Sri Lanka,9.333333333333334,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,10,15,0,Sri Lanka,Sri Lanka,9.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,11,15,0,Sri Lanka,Sri Lanka,8.181818181818182,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,12,16,0,Sri Lanka,Sri Lanka,8.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,13,17,0,Sri Lanka,Sri Lanka,7.846153846153846,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,14,18,0,Sri Lanka,Sri Lanka,7.714285714285714,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,15,19,0,Sri Lanka,Sri Lanka,7.6,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,16,19,0,Sri Lanka,Sri Lanka,7.125,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,17,20,0,Sri Lanka,Sri Lanka,7.0588235294117645,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,18,20,0,Sri Lanka,Sri Lanka,6.666666666666667,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,19,20,0,Sri Lanka,Sri Lanka,6.315789473684211,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,20,20,0,Sri Lanka,Sri Lanka,6.0,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,21,20,0,Sri Lanka,Sri Lanka,5.714285714285714,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,22,24,0,Sri Lanka,Sri Lanka,6.545454545454546,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,23,24,0,Sri Lanka,Sri Lanka,6.260869565217392,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,24,25,0,Sri Lanka,Sri Lanka,6.25,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,25,29,0,Sri Lanka,Sri Lanka,6.96,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,26,29,0,Sri Lanka,Sri Lanka,6.6923076923076925,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,27,32,0,Sri Lanka,Sri Lanka,7.111111111111111,Sri Lanka,India,India,-10000000000.0,0.0
2014-11-16,Ranchi,28,32,1,Sri Lanka,Sri Lanka,6.857142857142857,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,29,37,1,Sri Lanka,Sri Lanka,7.655172413793103,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,30,37,1,Sri Lanka,Sri Lanka,7.4,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,30,37,1,Sri Lanka,Sri Lanka,7.4,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,31,41,1,Sri Lanka,Sri Lanka,7.935483870967742,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,32,41,1,Sri Lanka,Sri Lanka,7.6875,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,33,41,1,Sri Lanka,Sri Lanka,7.454545454545454,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,34,45,1,Sri Lanka,Sri Lanka,7.9411764705882355,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,35,45,1,Sri Lanka,Sri Lanka,7.714285714285714,Sri Lanka,India,India,-10000000000.0,0.63
2014-11-16,Ranchi,36,45,2,Sri Lanka,Sri Lanka,7.5,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,37,45,2,Sri Lanka,Sri Lanka,7.297297297297297,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,38,45,2,Sri Lanka,Sri Lanka,7.105263157894737,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,39,45,2,Sri Lanka,Sri Lanka,6.923076923076923,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,40,46,2,Sri Lanka,Sri Lanka,6.9,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,41,46,2,Sri Lanka,Sri Lanka,6.7317073170731705,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,42,46,2,Sri Lanka,Sri Lanka,6.571428571428571,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,43,46,2,Sri Lanka,Sri Lanka,6.4186046511627906,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,44,46,2,Sri Lanka,Sri Lanka,6.2727272727272725,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,45,46,2,Sri Lanka,Sri Lanka,6.133333333333334,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,46,46,2,Sri Lanka,Sri Lanka,6.0,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,47,46,2,Sri Lanka,Sri Lanka,5.872340425531915,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,48,46,2,Sri Lanka,Sri Lanka,5.75,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,49,46,2,Sri Lanka,Sri Lanka,5.63265306122449,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,50,48,2,Sri Lanka,Sri Lanka,5.76,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,51,48,2,Sri Lanka,Sri Lanka,5.647058823529412,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,52,49,2,Sri Lanka,Sri Lanka,5.653846153846154,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,53,49,2,Sri Lanka,Sri Lanka,5.547169811320755,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,54,49,2,Sri Lanka,Sri Lanka,5.444444444444445,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,55,49,2,Sri Lanka,Sri Lanka,5.345454545454546,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,56,49,2,Sri Lanka,Sri Lanka,5.25,Sri Lanka,India,India,-10000000000.0,1.37
2014-11-16,Ranchi,57,50,2,Sri Lanka,Sri Lanka,5.2631578947368425,Sri Lanka,India,India,-10000000000.0,1.37
