Date,Venue,Balls,Runs,Wickets,Toss,Team_Playing,RPO,Team1,Team2,Team_Won,form_difference,wrl
2010-08-22,No Info,1,0,0,India,Sri Lanka,0.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,2,0,0,India,Sri Lanka,0.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,3,4,0,India,Sri Lanka,8.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,4,4,0,India,Sri Lanka,6.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,5,4,0,India,Sri Lanka,4.8,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,6,5,0,India,Sri Lanka,5.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,7,5,0,India,Sri Lanka,4.285714285714286,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,8,6,0,India,Sri Lanka,4.5,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,9,6,0,India,Sri Lanka,4.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,10,10,0,India,Sri Lanka,6.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,11,10,0,India,Sri Lanka,5.454545454545454,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,12,10,0,India,Sri Lanka,5.0,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,13,10,0,India,Sri Lanka,4.615384615384615,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,14,12,0,India,Sri Lanka,5.142857142857143,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,15,12,0,India,Sri Lanka,4.8,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,16,12,0,India,Sri Lanka,4.5,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,17,12,0,India,Sri Lanka,4.235294117647059,India,Sri Lanka,Sri Lanka,60.88,0.0
2010-08-22,No Info,18,16,0,India,Sri Lanka,5.333333333333333,India,Sri Lanka,Sri Lanka,60.88,0.0
