Runs,Balls,Toss,Venue,Team1,Team2,Wickets,Date,RPO,form_difference,wrl,Won
169,250,1,Port Elizabeth,West Indies,South Africa,4,2008-01-27,4.056,-8488157036.28,1.29,0
206,250,0,Port Elizabeth,West Indies,South Africa,3,2008-01-27,4.944,-8488157036.28,1.14,1
173,250,1,Durban,West Indies,South Africa,6,2008-02-01,4.152,-8796724185.17,2.77,0
228,250,0,Durban,West Indies,South Africa,5,2008-02-01,5.472,-8796724185.17,1.7,1
230,250,0,Johannesburg,West Indies,South Africa,4,2008-02-03,5.52,-10000000000.0,1.25,0
228,250,1,Lahore,South Africa,Pakistan,2,2007-10-18,5.472,100.0,1.1,1
214,250,0,Lahore,South Africa,Pakistan,7,2007-10-18,5.136,100.0,4.95,0
201,250,1,Lahore,Pakistan,South Africa,4,2007-10-20,4.824,-10000000000.0,1.42,1
195,250,0,Lahore,Pakistan,South Africa,6,2007-10-20,4.68,-10000000000.0,3.95,0
161,250,1,Faisalabad,South Africa,Pakistan,4,2007-10-23,3.864,57.17,1.92,0
161,250,0,Faisalabad,South Africa,Pakistan,4,2007-10-23,3.864,57.17,1.37,1
170,250,1,No Info,Pakistan,South Africa,6,2007-10-26,4.08,14.31,3.32,0
183,250,1,Lahore,South Africa,Pakistan,3,2007-10-29,4.392,24.99,1.57,1
199,250,0,Lahore,South Africa,Pakistan,5,2007-10-29,4.776,24.99,1.79,0
172,250,0,Auckland,Bangladesh,New Zealand,8,2007-12-26,4.128,0.0,6.32,0
195,250,1,Auckland,Bangladesh,New Zealand,4,2007-12-26,4.68,0.0,1.09,1
245,250,1,Napier,New Zealand,Bangladesh,3,2007-12-28,5.88,100.0,0.81,1
173,250,0,Napier,New Zealand,Bangladesh,6,2007-12-28,4.152,100.0,3.01,0
109,250,1,Wellington,England,New Zealand,8,2008-02-09,2.616,-7284881221.45,7.21,0
169,250,0,Auckland,New Zealand,England,7,2008-02-15,4.056,100.0,4.01,0
205,250,1,Auckland,New Zealand,England,4,2008-02-15,4.92,100.0,1.86,1
255,250,0,Napier,England,New Zealand,3,2008-02-20,6.12,-133.48,0.78,0
286,250,1,Napier,England,New Zealand,3,2008-02-20,6.864,-133.48,0.9,0
159,250,0,Christchurch,England,New Zealand,5,2008-02-23,3.816,-93.35,2.71,0
150,250,1,Bulawayo,Zimbabwe,South Africa,7,2007-08-22,3.6,0.0,6.84,0
172,250,0,Bulawayo,Zimbabwe,South Africa,4,2007-08-22,4.128,0.0,1.45,1
190,250,0,No Info,Zimbabwe,South Africa,4,2007-08-25,4.56,-2998687221.02,1.75,0
260,250,1,No Info,South Africa,Zimbabwe,3,2007-08-26,6.24,100.0,0.65,1
242,250,0,No Info,South Africa,Zimbabwe,5,2007-08-26,5.808,100.0,1.7,0
126,250,1,Nairobi,Bermuda,Kenya,6,2007-10-27,3.024,-2998687221.02,4.04,0
168,250,0,Nairobi,Bermuda,Kenya,6,2007-10-27,4.032,-2998687221.02,4.11,1
157,250,1,Nairobi,Bermuda,Kenya,8,2007-10-28,3.768,-5385342380.23,6.08,0
199,250,0,No Info,Zimbabwe,West Indies,5,2007-11-30,4.776,0.0,2.26,1
177,250,1,No Info,Zimbabwe,West Indies,3,2007-11-30,4.248,0.0,1.82,0
220,250,0,No Info,West Indies,Zimbabwe,5,2007-12-02,5.28,-2998687221.02,1.79,1
165,250,1,No Info,West Indies,Zimbabwe,8,2007-12-02,3.96,-2998687221.02,7.46,0
193,250,0,Bulawayo,Zimbabwe,West Indies,3,2007-12-07,4.632,-25.64,0.79,0
197,250,1,Bulawayo,Zimbabwe,West Indies,5,2007-12-07,4.728,-25.64,1.64,1
166,250,0,Trinidad,Sri Lanka,West Indies,5,2008-04-10,3.984,-5385342380.23,4.4,0
185,250,1,Trinidad,Sri Lanka,West Indies,5,2008-04-10,4.44,-5385342380.23,2.16,1
183,250,0,St Lucia,Sri Lanka,West Indies,5,2008-04-15,4.392,-8796724185.17,2.0,0
212,250,0,St Vincent,Australia,West Indies,4,2008-06-24,5.088,-7001312778.98,2.05,1
150,250,1,Grenada,Australia,West Indies,4,2008-06-27,3.6,-53.89,1.41,1
196,250,0,Grenada,West Indies,Australia,6,2008-06-29,4.704,-98.35,2.58,0
203,250,0,St Kitts,Australia,West Indies,4,2008-07-04,4.872,83.48,2.2,1
240,250,1,St Kitts,Australia,West Indies,3,2008-07-04,5.76,83.48,1.1,0
245,250,1,St Kitts,Australia,West Indies,4,2008-07-06,5.88,100.0,2.67,1
148,250,1,No Info,Bangladesh,South Africa,6,2008-03-09,3.552,0.0,3.38,0
144,250,1,Mirpur,Bangladesh,South Africa,7,2008-03-12,3.456,-2998687221.02,4.7,0
148,250,0,Mirpur,Bangladesh,South Africa,3,2008-03-12,3.552,-2998687221.02,1.96,1
139,250,1,Mirpur,Bangladesh,South Africa,9,2008-03-14,3.336,-5385342380.23,8.65,0
160,250,0,King City,Bermuda,Canada,5,2008-06-29,3.84,0.0,3.68,1
154,250,1,King City,Bermuda,Canada,8,2008-06-29,3.696,0.0,6.76,0
225,250,1,Nairobi,Zimbabwe,Ireland,3,2008-10-17,5.4,-2998687221.02,0.88,1
129,250,0,Nairobi,Zimbabwe,Ireland,8,2008-10-17,3.096,-2998687221.02,6.96,0
266,250,0,Karachi,Pakistan,Zimbabwe,4,2008-01-21,6.384,-2998687221.02,1.45,1
195,250,1,Karachi,Pakistan,Zimbabwe,6,2008-01-21,4.68,-2998687221.02,3.82,0
202,250,1,Sind,Zimbabwe,Pakistan,3,2008-01-24,4.848,-25.64,1.19,0
202,250,0,Sind,Zimbabwe,Pakistan,5,2008-01-24,4.848,-25.64,2.23,1
209,250,1,No Info,Pakistan,Zimbabwe,6,2008-01-27,5.016,64.73,3.18,1
187,250,0,No Info,Pakistan,Zimbabwe,5,2008-01-27,4.488,64.73,2.1,0
182,250,1,Faisalabad,Zimbabwe,Pakistan,7,2008-01-30,4.368,-381.85,4.36,0
211,250,0,Faisalabad,Zimbabwe,Pakistan,3,2008-01-30,5.064,-381.85,0.72,1
161,250,1,No Info,Zimbabwe,Pakistan,8,2008-02-02,3.864,-631.06,6.15,0
227,250,1,Lahore,Bangladesh,United Arab Emirates,2,2008-06-24,5.448,0.0,0.95,1
190,250,0,Lahore,Bangladesh,United Arab Emirates,7,2008-06-24,4.56,0.0,4.42,0
212,250,1,Karachi,Pakistan,Hong Kong,7,2008-06-24,5.088,100.0,6.33,1
305,250,0,Lahore,Sri Lanka,Bangladesh,5,2008-06-25,7.32,-2386655159.21,1.66,1
178,250,1,Lahore,Sri Lanka,Bangladesh,7,2008-06-25,4.272,-2386655159.21,4.42,0
263,250,1,Karachi,India,Hong Kong,3,2008-06-25,6.312,0.0,1.58,1
242,250,1,Lahore,Sri Lanka,United Arab Emirates,7,2008-06-26,5.808,100.0,5.73,1
225,250,1,Karachi,Pakistan,India,3,2008-06-26,5.4,-57.86,0.65,0
294,250,0,Karachi,Pakistan,India,4,2008-06-26,7.056,-57.86,1.02,1
193,250,1,Karachi,Bangladesh,India,5,2008-06-28,4.632,-4898226062.24,2.55,0
239,250,0,Karachi,Sri Lanka,Pakistan,3,2008-06-29,5.736,100.0,1.38,1
181,250,1,Karachi,Sri Lanka,Pakistan,6,2008-06-29,4.344,100.0,3.71,0
271,250,1,Karachi,Sri Lanka,Bangladesh,5,2008-06-30,6.504,100.0,1.74,1
243,250,1,Karachi,India,Pakistan,5,2008-07-02,5.832,100.0,1.65,0
278,250,0,Karachi,India,Pakistan,3,2008-07-02,6.672,100.0,1.57,1
239,250,1,Karachi,Sri Lanka,India,4,2008-07-03,5.736,36.65,1.47,0
271,250,0,Karachi,Sri Lanka,India,4,2008-07-03,6.504,36.65,1.41,1
224,250,0,Karachi,Sri Lanka,India,6,2008-07-06,5.376,12.1,3.14,1
192,250,0,Darwin,Australia,Bangladesh,3,2008-08-30,4.608,0.0,0.98,1
142,250,1,Darwin,Australia,Bangladesh,4,2008-09-06,3.408,100.0,1.72,1
117,250,1,No Info,India,Sri Lanka,8,2008-08-18,2.808,-1511842963.72,7.09,0
181,250,1,Colombo,India,Sri Lanka,5,2008-08-24,4.344,20.41,2.61,1
166,250,0,Colombo,India,Sri Lanka,7,2008-08-24,3.984,20.41,6.59,0
155,250,1,Colombo,Sri Lanka,India,6,2008-08-29,3.72,-183.51,3.51,1
234,250,1,Lahore,Pakistan,Bangladesh,4,2008-04-08,5.616,0.0,1.34,1
187,250,1,Faisalabad,Bangladesh,Pakistan,6,2008-04-11,4.488,-2998687221.02,4.12,0
245,250,1,Lahore,Pakistan,Bangladesh,4,2008-04-13,5.88,100.0,2.07,1
219,250,0,Lahore,Pakistan,Bangladesh,5,2008-04-13,5.256,100.0,1.74,0
174,250,1,No Info,Bangladesh,Pakistan,8,2008-04-16,4.176,-7284881221.45,8.02,0
195,250,0,No Info,Bangladesh,Pakistan,2,2008-04-16,4.68,-7284881221.45,0.93,1
259,250,1,Karachi,Pakistan,Bangladesh,4,2008-04-19,6.216,100.0,1.11,1
269,250,1,Mirpur,India,Pakistan,4,2008-06-10,6.456,-10000000000.0,1.57,1
170,250,1,Mirpur,Bangladesh,India,5,2008-06-12,4.08,-2998687221.02,2.21,0
237,250,1,Mirpur,Pakistan,India,1,2008-06-14,5.688,-16.7,0.58,1
239,250,0,Mirpur,Pakistan,India,6,2008-06-14,5.736,-16.7,4.32,0
187,250,0,London,Australia,England,3,2009-09-04,4.488,0.0,1.61,1
179,250,1,London,Australia,England,6,2009-09-04,4.296,0.0,2.58,0
175,250,0,London,Australia,England,5,2009-09-06,4.2,100.0,2.34,1
192,250,1,London,Australia,England,7,2009-09-06,4.608,100.0,5.22,0
177,250,1,Southampton,England,Australia,6,2009-09-09,4.248,-5385342380.23,3.72,0
174,250,0,Southampton,England,Australia,2,2009-09-09,4.176,-5385342380.23,1.2,1
185,250,1,London,England,Australia,5,2009-09-12,4.44,-7284881221.45,1.96,0
206,250,0,London,England,Australia,3,2009-09-12,4.944,-7284881221.45,1.07,1
226,250,1,Nottingham,England,Australia,5,2009-09-15,5.424,-8796724185.17,2.16,0
241,250,0,Nottingham,England,Australia,4,2009-09-15,5.784,-8796724185.17,1.25,1
211,250,1,Nottingham,Australia,England,4,2009-09-17,5.064,100.0,1.14,1
161,250,0,Chester-le-Street,Australia,England,8,2009-09-20,3.864,100.0,6.18,0
199,250,1,Potchefstroom,South Africa,Bangladesh,5,2008-11-07,4.776,0.0,2.41,1
208,250,0,Potchefstroom,South Africa,Bangladesh,9,2008-11-07,4.992,0.0,8.54,0
207,250,1,Durban,Australia,South Africa,5,2009-04-03,4.968,35.02,2.69,1
202,250,1,Cape Town,South Africa,Australia,4,2009-04-09,4.848,26.71,1.16,1
186,250,0,Cape Town,South Africa,Australia,5,2009-04-09,4.464,26.71,3.15,0
245,250,0,Port Elizabeth,South Africa,Australia,4,2009-04-13,5.88,72.46,1.09,1
230,250,1,Port Elizabeth,South Africa,Australia,6,2009-04-13,5.52,72.46,2.7,0
249,250,0,Johannesburg,Australia,South Africa,7,2009-04-17,5.976,-461.44,4.23,1
227,250,1,Johannesburg,Australia,South Africa,6,2009-04-17,5.448,-461.44,2.61,0
194,250,1,No Info,Australia,South Africa,4,2009-01-16,4.656,-37.98,1.48,0
215,250,0,No Info,Australia,South Africa,5,2009-01-16,5.16,-37.98,1.64,1
203,250,0,Hobart,Australia,South Africa,5,2009-01-18,4.872,-219.0,1.79,1
174,250,1,Hobart,Australia,South Africa,5,2009-01-18,4.176,-219.0,1.7,0
223,250,1,No Info,Australia,South Africa,5,2009-01-23,5.352,-4.16,2.9,0
226,250,0,No Info,Australia,South Africa,6,2009-01-23,5.424,-4.16,2.9,1
189,250,1,No Info,Australia,South Africa,8,2009-01-26,4.536,-56.51,6.08,0
203,250,1,Perth,South Africa,Australia,4,2009-01-30,4.872,55.01,1.14,1
202,250,0,Perth,South Africa,Australia,6,2009-01-30,4.848,55.01,3.18,0
146,250,1,Perth,Australia,New Zealand,6,2009-02-01,3.504,100.0,3.85,0
128,250,0,Perth,Australia,New Zealand,5,2009-02-01,3.072,100.0,2.55,1
170,250,0,No Info,Australia,New Zealand,3,2009-02-06,4.08,-149.21,1.9,0
176,250,1,No Info,Australia,New Zealand,4,2009-02-06,4.224,-149.21,1.04,1
243,250,0,No Info,Australia,New Zealand,5,2009-02-08,5.832,-5385342380.23,2.07,1
236,250,1,No Info,Australia,New Zealand,7,2009-02-08,5.664,-5385342380.23,5.32,0
173,250,1,No Info,New Zealand,Australia,5,2009-02-10,4.152,30.04,2.59,0
194,250,0,No Info,New Zealand,Australia,3,2009-02-10,4.656,30.04,1.6,1
215,250,1,Guyana,England,West Indies,3,2009-03-20,5.16,0.0,1.66,1
214,250,0,Guyana,England,West Indies,5,2009-03-20,5.136,0.0,1.7,0
214,250,1,Guyana,West Indies,England,4,2009-03-22,5.136,-2998687221.02,1.24,1
191,250,0,Guyana,West Indies,England,8,2009-03-22,4.584,-2998687221.02,6.32,0
180,250,0,Barbados,West Indies,England,7,2009-03-29,4.32,64.73,4.26,0
263,250,1,Bloemfontein,South Africa,Kenya,5,2008-10-31,6.312,0.0,1.87,1
160,250,0,Bloemfontein,South Africa,Kenya,6,2008-10-31,3.84,0.0,4.23,0
275,250,0,Rajkot,India,England,4,2008-11-14,6.6,-4286194000.43,1.47,1
217,250,1,Indore,India,England,5,2008-11-17,5.208,-13.76,2.03,1
193,250,0,Indore,India,England,7,2008-11-17,4.632,-13.76,4.1,0
191,250,1,Kanpur,England,India,5,2008-11-20,4.584,-98.35,2.41,0
205,250,0,Cuttack,England,India,4,2008-11-26,4.92,-8796724185.17,2.05,0
257,250,1,Cuttack,England,India,4,2008-11-26,6.168,-8796724185.17,1.09,1
228,250,1,Colombo,India,Sri Lanka,4,2008-08-27,5.472,100.0,1.09,1
192,250,0,Colombo,India,Sri Lanka,8,2008-08-27,4.608,100.0,6.08,0
210,250,1,Hamilton,New Zealand,India,5,2009-03-11,5.04,-10000000000.0,2.34,0
299,250,0,Christchurch,India,New Zealand,3,2009-03-08,7.176,57.17,1.36,1
295,250,1,Christchurch,India,New Zealand,8,2009-03-08,7.08,57.17,6.91,0
128,250,0,Wellington,West Indies,New Zealand,10,2009-01-07,3.072,-2386655159.21,10.0,0
244,250,1,Abu Dhabi,West Indies,Pakistan,3,2008-11-12,5.856,0.0,0.9,0
223,250,0,Abu Dhabi,West Indies,Pakistan,4,2008-11-12,5.352,0.0,1.23,1
180,250,1,Abu Dhabi,Pakistan,West Indies,7,2008-11-14,4.32,100.0,4.06,1
170,250,0,Abu Dhabi,Pakistan,West Indies,7,2008-11-14,4.08,100.0,3.98,0
112,250,0,No Info,Sri Lanka,Zimbabwe,5,2008-11-30,2.688,100.0,2.1,1
132,250,1,No Info,Sri Lanka,Zimbabwe,7,2008-11-30,3.168,100.0,4.36,0
262,250,1,Jamaica,India,West Indies,5,2009-06-26,6.288,0.0,2.15,1
263,250,0,Jamaica,India,West Indies,7,2009-06-26,6.312,0.0,4.57,0
147,250,1,Jamaica,India,West Indies,8,2009-06-28,3.528,100.0,8.36,0
146,250,0,Mirpur,Zimbabwe,Bangladesh,6,2009-01-10,3.504,0.0,3.82,1
145,250,1,Mirpur,Zimbabwe,Bangladesh,8,2009-01-10,3.48,0.0,6.96,0
254,250,0,Birmingham,England,West Indies,2,2009-05-26,6.096,100.0,0.94,1
214,250,1,Birmingham,England,West Indies,7,2009-05-26,5.136,100.0,4.1,0
147,250,1,Belfast,England,Ireland,6,2009-08-27,3.528,100.0,3.12,1
176,250,1,Nairobi,Kenya,Zimbabwe,6,2009-01-31,4.224,0.0,2.9,0
178,250,0,Nairobi,Kenya,Zimbabwe,6,2009-01-31,4.272,0.0,3.14,1
201,250,1,Karachi,Sri Lanka,Pakistan,7,2009-01-20,4.824,0.0,5.59,0
203,250,0,Karachi,Sri Lanka,Pakistan,1,2009-01-20,4.872,0.0,0.23,1
224,250,0,Karachi,Sri Lanka,Pakistan,4,2009-01-21,5.376,-2998687221.02,1.61,1
233,250,1,Lahore,Sri Lanka,Pakistan,2,2009-01-24,5.592,20.41,0.67,1
183,250,0,No Info,Sri Lanka,India,4,2009-01-28,4.392,100.0,1.26,0
201,250,1,No Info,Sri Lanka,India,4,2009-01-28,4.824,100.0,1.41,1
219,250,1,Colombo,India,Sri Lanka,5,2009-01-31,5.256,-42.94,2.8,1
185,250,0,Colombo,India,Sri Lanka,4,2009-01-31,4.44,-42.94,1.75,0
294,250,1,Colombo,India,Sri Lanka,5,2009-02-03,7.056,36.65,2.1,1
216,250,0,Colombo,India,Sri Lanka,10,2009-02-03,5.184,36.65,10.0,0
266,250,1,Colombo,India,Sri Lanka,4,2009-02-05,6.384,62.73,1.72,1
215,250,0,Colombo,India,Sri Lanka,7,2009-02-05,5.16,62.73,4.42,0
255,250,1,Colombo,Sri Lanka,India,4,2009-02-08,6.12,-631.06,1.02,1
214,250,0,Colombo,Sri Lanka,India,7,2009-02-08,5.136,-631.06,5.32,0
188,250,0,Centurion,South Africa,England,6,2009-11-22,4.512,0.0,3.63,0
207,250,1,Centurion,South Africa,England,3,2009-11-22,4.968,0.0,0.65,1
261,250,1,Cape Town,South Africa,England,3,2009-11-27,6.264,-2998687221.02,1.02,1
157,250,0,Benoni,Scotland,Ireland,6,2009-04-01,3.768,0.0,2.7,0
179,250,0,Benoni,Canada,Scotland,4,2009-04-08,4.296,0.0,1.67,1
221,250,1,Benoni,Afghanistan,Scotland,5,2009-04-19,5.304,0.0,3.07,1
158,250,0,No Info,Australia,Pakistan,6,2009-04-22,3.792,0.0,2.99,1
176,250,1,No Info,Pakistan,Australia,6,2009-04-24,4.224,100.0,2.87,0
186,250,0,No Info,Pakistan,Australia,4,2009-04-24,4.464,100.0,1.18,1
153,250,1,Abu Dhabi,Australia,Pakistan,5,2009-04-27,3.672,20.41,2.03,1
155,250,0,Abu Dhabi,Australia,Pakistan,7,2009-04-27,3.72,20.41,4.3,0
160,250,1,Abu Dhabi,Pakistan,Australia,6,2009-05-01,3.84,-183.51,3.56,0
180,250,0,Abu Dhabi,Pakistan,Australia,2,2009-05-01,4.32,-183.51,1.45,1
193,250,1,Abu Dhabi,Australia,Pakistan,4,2009-05-03,4.632,79.25,1.57,0
212,250,0,Abu Dhabi,Australia,Pakistan,3,2009-05-03,5.088,79.25,1.98,1
182,250,0,Dominica,Bangladesh,West Indies,5,2009-07-26,4.368,0.0,2.48,1
187,250,1,Dominica,Bangladesh,West Indies,7,2009-07-26,4.488,0.0,4.53,0
190,250,1,Dominica,West Indies,Bangladesh,5,2009-07-28,4.56,-2998687221.02,1.78,0
217,250,0,Dominica,West Indies,Bangladesh,4,2009-07-28,5.208,-2998687221.02,1.58,1
213,250,1,St Kitts,West Indies,Bangladesh,7,2009-07-31,5.112,-5385342380.23,4.95,0
188,250,0,St Kitts,West Indies,Bangladesh,6,2009-07-31,4.512,-5385342380.23,2.99,1
157,250,0,No Info,Sri Lanka,Pakistan,6,2009-07-30,3.768,-1511842963.72,4.11,1
161,250,1,No Info,Sri Lanka,Pakistan,8,2009-07-30,3.864,-1511842963.72,7.02,0
140,250,0,No Info,Pakistan,Sri Lanka,9,2009-08-01,3.36,-149.21,8.7,0
154,250,1,No Info,Pakistan,Sri Lanka,4,2009-08-01,3.696,-149.21,2.65,1
226,250,0,No Info,Pakistan,Sri Lanka,7,2009-08-03,5.424,-5385342380.23,3.98,0
253,250,1,No Info,Pakistan,Sri Lanka,3,2009-08-03,6.072,-5385342380.23,1.04,1
223,250,1,Colombo,Pakistan,Sri Lanka,4,2009-08-07,5.352,-7284881221.45,2.42,1
216,250,1,Colombo,Pakistan,Sri Lanka,6,2009-08-09,5.184,-93.35,2.87,1
155,250,1,Colombo,Sri Lanka,New Zealand,5,2009-09-08,3.72,100.0,3.61,1
231,250,1,Colombo,Sri Lanka,India,5,2009-09-12,5.544,100.0,3.08,1
142,250,1,Colombo,New Zealand,India,8,2009-09-11,3.408,0.0,6.91,0
231,250,1,Colombo,India,Sri Lanka,2,2009-09-14,5.544,-42.94,0.51,1
247,250,0,Colombo,India,Sri Lanka,6,2009-09-14,5.928,-42.94,4.85,0
197,250,0,No Info,Australia,West Indies,5,2010-02-07,4.728,0.0,1.83,1
164,250,0,No Info,Australia,West Indies,5,2010-02-12,3.936,100.0,2.31,0
242,250,0,Brisbane,Australia,West Indies,3,2010-02-14,5.808,100.0,0.74,1
211,250,1,Brisbane,Australia,West Indies,6,2010-02-14,5.064,100.0,4.46,0
236,250,1,No Info,Australia,West Indies,4,2010-02-19,5.664,100.0,1.57,1
212,250,1,Brisbane,Pakistan,Australia,5,2010-01-22,5.088,-8100461158.78,1.86,0
225,250,0,Brisbane,Pakistan,Australia,4,2010-01-22,5.4,-8100461158.78,1.57,1
193,250,0,No Info,Australia,Pakistan,4,2010-01-24,4.632,100.0,1.61,1
200,250,1,No Info,Australia,Pakistan,3,2010-01-26,4.8,100.0,1.21,1
205,250,0,No Info,Australia,Pakistan,6,2010-01-26,4.92,100.0,3.56,0
199,250,1,Perth,Australia,Pakistan,6,2010-01-29,4.776,100.0,2.94,1
162,250,1,Perth,Pakistan,Australia,5,2010-01-31,3.888,-10000000000.0,1.78,0
161,250,0,Perth,Pakistan,Australia,6,2010-01-31,3.864,-10000000000.0,3.12,1
175,250,0,Bulawayo,Zimbabwe,Bangladesh,6,2009-08-09,4.2,0.0,3.24,0
239,250,0,Bulawayo,Bangladesh,Zimbabwe,3,2009-08-11,5.736,100.0,1.16,1
239,250,1,Bulawayo,Bangladesh,Zimbabwe,7,2009-08-11,5.736,100.0,4.62,0
227,250,0,Bulawayo,Zimbabwe,Bangladesh,4,2009-08-14,5.448,-5385342380.23,1.29,1
238,250,1,Bulawayo,Zimbabwe,Bangladesh,8,2009-08-14,5.712,-5385342380.23,6.02,0
218,250,1,Bulawayo,Zimbabwe,Bangladesh,5,2009-08-16,5.232,-42.94,1.66,0
259,250,0,Bulawayo,Zimbabwe,Bangladesh,4,2009-08-16,6.216,-42.94,1.18,1
178,250,1,Bulawayo,Zimbabwe,Bangladesh,8,2009-08-18,4.272,-168.58,6.18,0
192,250,0,Bulawayo,Zimbabwe,Bangladesh,4,2009-08-18,4.608,-168.58,1.58,1
249,250,0,Centurion,Sri Lanka,South Africa,3,2009-09-22,5.976,0.0,1.37,1
174,250,0,Centurion,New Zealand,South Africa,5,2009-09-24,4.176,0.0,1.78,0
187,250,0,Johannesburg,Sri Lanka,England,7,2009-09-25,4.488,100.0,4.23,0
182,250,1,Johannesburg,Sri Lanka,England,4,2009-09-25,4.368,100.0,1.71,1
175,250,0,Johannesburg,Australia,West Indies,7,2009-09-26,4.2,0.0,4.62,1
210,250,1,Johannesburg,Australia,West Indies,5,2009-09-26,5.04,0.0,2.01,0
228,250,1,Centurion,Pakistan,India,3,2009-09-26,5.472,100.0,2.03,1
235,250,0,Centurion,Pakistan,India,6,2009-09-26,5.64,100.0,3.24,0
230,250,0,Johannesburg,New Zealand,Sri Lanka,6,2009-09-27,5.52,0.0,2.55,1
242,250,1,Johannesburg,New Zealand,Sri Lanka,7,2009-09-27,5.808,0.0,4.85,0
248,250,1,Centurion,England,South Africa,3,2009-09-27,5.952,20.41,0.84,1
236,250,0,Centurion,England,South Africa,5,2009-09-27,5.664,20.41,1.86,0
142,250,0,Johannesburg,England,New Zealand,9,2009-09-29,3.408,43.2,8.96,0
158,250,0,Centurion,Pakistan,Australia,4,2009-09-30,3.792,20.41,1.95,0
176,250,1,Centurion,Pakistan,Australia,6,2009-09-30,4.224,20.41,2.61,1
221,250,1,Centurion,England,Australia,7,2009-10-02,5.304,-57.86,4.42,0
257,250,0,Centurion,England,Australia,1,2009-10-02,6.168,-57.86,0.65,1
184,250,1,Johannesburg,Pakistan,New Zealand,7,2009-10-03,4.416,-1511842963.72,4.06,0
172,250,0,Johannesburg,Pakistan,New Zealand,4,2009-10-03,4.128,-1511842963.72,2.13,1
166,250,1,Centurion,New Zealand,Australia,6,2009-10-05,3.984,7.22,2.72,0
171,250,0,Centurion,New Zealand,Australia,4,2009-10-05,4.104,7.22,1.35,1
224,250,1,Vadodara,Australia,India,3,2009-10-25,5.376,75.22,1.35,1
206,250,0,Vadodara,Australia,India,7,2009-10-25,4.944,75.22,4.48,0
260,250,0,Nagpur,India,Australia,4,2009-10-28,6.24,-473.2,1.79,1
217,250,1,Nagpur,India,Australia,7,2009-10-28,5.208,-473.2,4.81,0
172,250,1,Delhi,Australia,India,3,2009-10-31,4.128,45.37,1.18,0
188,250,0,Delhi,Australia,India,3,2009-10-31,4.512,45.37,2.0,1
209,250,0,Chandigarh,Australia,India,4,2009-11-02,5.016,-57.86,1.37,1
199,250,1,Chandigarh,Australia,India,7,2009-11-02,4.776,-57.86,4.78,0
258,250,1,Hyderabad,Australia,India,2,2009-11-05,6.192,24.99,0.42,1
294,250,0,Hyderabad,Australia,India,4,2009-11-05,7.056,24.99,2.59,0
128,250,1,Guwahati,India,Australia,7,2009-11-08,3.072,-93.14,6.2,0
168,250,0,Guwahati,India,Australia,4,2009-11-08,4.032,-93.14,1.57,1
137,250,0,Mirpur,Bangladesh,Zimbabwe,8,2009-10-27,3.288,0.0,6.91,0
198,250,1,Mirpur,Zimbabwe,Bangladesh,6,2009-10-29,4.752,100.0,2.85,0
170,250,0,Chittagong,Zimbabwe,Bangladesh,8,2009-11-05,4.08,-381.85,7.15,0
174,250,1,Chittagong,Zimbabwe,Bangladesh,6,2009-11-05,4.176,-381.85,2.55,1
220,250,1,Napier,New Zealand,Bangladesh,6,2010-02-05,5.28,-8796724185.17,3.68,1
189,250,0,Napier,New Zealand,Bangladesh,8,2010-02-05,4.536,-8796724185.17,6.91,0
102,250,0,Dunedin,Bangladesh,New Zealand,6,2010-02-08,2.448,57.17,5.32,0
200,250,0,Christchurch,Bangladesh,New Zealand,4,2010-02-11,4.8,-16.7,1.36,0
225,250,1,Christchurch,Bangladesh,New Zealand,7,2010-02-11,5.4,-16.7,4.97,1
204,250,1,Napier,Australia,New Zealand,5,2010-03-03,4.896,-7284881221.45,2.69,0
211,250,0,Napier,Australia,New Zealand,6,2010-03-03,5.064,-7284881221.45,2.64,1
203,250,1,Auckland,Australia,New Zealand,4,2010-03-06,4.872,-8796724185.17,2.57,1
241,250,0,Auckland,Australia,New Zealand,9,2010-03-06,5.784,-8796724185.17,8.45,0
213,250,0,Hamilton,New Zealand,Australia,5,2010-03-09,5.112,57.17,3.24,0
230,250,1,Hamilton,New Zealand,Australia,3,2010-03-09,5.52,57.17,1.02,1
214,250,0,Auckland,New Zealand,Australia,8,2010-03-11,5.136,-16.7,6.15,0
194,250,0,Wellington,New Zealand,Australia,7,2010-03-13,4.656,-168.31,4.78,1
164,250,1,Wellington,New Zealand,Australia,7,2010-03-13,3.936,-168.31,4.3,0
170,250,1,Dublin,Australia,Ireland,4,2010-06-17,4.08,100.0,1.41,1
191,250,0,Dublin,Australia,Ireland,9,2010-06-17,4.584,100.0,8.97,0
201,250,1,Southampton,Australia,England,5,2010-06-22,4.824,100.0,2.69,0
231,250,0,Southampton,Australia,England,5,2010-06-22,5.544,100.0,2.61,1
175,250,1,Cardiff,Australia,England,5,2010-06-24,4.2,41.22,3.26,0
219,250,0,Cardiff,Australia,England,6,2010-06-24,5.256,41.22,2.85,1
189,250,0,Manchester,Australia,England,6,2010-06-27,4.536,-73.56,2.85,0
185,250,1,Manchester,Australia,England,4,2010-06-27,4.44,-73.56,1.02,1
226,250,0,London,Australia,England,2,2010-06-30,5.424,-381.85,1.13,1
208,250,1,London,Australia,England,9,2010-06-30,4.992,-381.85,8.28,0
179,250,1,London,Australia,England,4,2010-07-03,4.296,-37.98,2.15,1
