Balls,Accuracy_Logistic,Precision_Logistic,F-measure_Logistic,Accuracy_SVM,Precision_SVM,F-measure_SVM,Accuracy_RF,Precision_RF,F-measure_RF
10,0.6509507749950969,0.65892655367231634,0.6549143822715181,0.64368997009734075,0.63884180790960454,0.64125672561391711,0.63634970864441998,0.62197740112994349,0.62908147637926204
20,0.64348314418260011,0.67734463276836154,0.65997984233061147,0.63653628299526965,0.65048022598870059,0.64343271795269186,0.65013325537480593,0.63381355932203387,0.64186969102769453
30,0.65636821178293503,0.70669710806697106,0.68060350496653621,0.64682601623819402,0.68183028919330291,0.6638670480944453,0.65617652320375952,0.66248097412480977,0.6593136779952532
40,0.66225028192671509,0.69192090395480221,0.67676054326435431,0.65853635495242568,0.67189265536723164,0.66514746258958002,0.643760579662911,0.61485875706214688,0.62897783040117217
50,0.67875127635222787,0.70790960451977403,0.69302387373564378,0.66676216440493419,0.67596045197740118,0.67132980187212843,0.64919768455340532,0.64581920903954804,0.64750403986678562
60,0.68467264152919183,0.71160965794768605,0.69788131587325208,0.67429170294977792,0.68024144869215308,0.6772535087822017,0.65649055092805098,0.65764587525150897,0.65706770523752578
70,0.6882162580591944,0.71067796610169487,0.69926678095909445,0.67732455413186121,0.68703389830508477,0.68214467834576931,0.67618601096003039,0.65502824858757058,0.66543899346313573
80,0.69309941661631513,0.70751022793687901,0.70023068617317796,0.6851024078047746,0.68866160140268851,0.68687739396501091,0.6801786458871989,0.68515488018702508,0.68265769459070902
90,0.68913159201865726,0.69848484848484849,0.69377669734528946,0.70287472778104276,0.69393939393939397,0.69837848147029791,0.69037429899875935,0.68333333333333335,0.68683577186159073
100,0.70978698049223354,0.72855414398064122,0.71904812729405554,0.70041986194678862,0.69189352692075023,0.69613058738432299,0.67926370733593666,0.69724742891712044,0.68813809205481657
110,0.70294403330674604,0.73605889724310791,0.7191204395694738,0.69693599009264173,0.69702380952380949,0.69697989704191465,0.69116840913071775,0.69176065162907263,0.69146440356530037
120,0.70574321987631594,0.72046448087431691,0.71302787423058767,0.70464985032674754,0.70057377049180336,0.70260589874277102,0.69585874506957457,0.67617486338797816,0.68587560681361581
130,0.72134152663030737,0.73316498316498324,0.72720519938071015,0.72153519751908912,0.71673400673400678,0.71912658852489175,0.69282899955563737,0.69114478114478117,0.69198586555057251
140,0.71483728665621604,0.72431865828092246,0.71954674013123909,0.71546185934825002,0.71324248777078947,0.71435044975633799,0.71018369481626986,0.70017470300489182,0.70514368314478848
150,0.72766781483682519,0.72556984219754528,0.72661731414368491,0.71935196553372494,0.70677966101694911,0.71301039663709698,0.70974314391842275,0.67276446522501465,0.69075926021302347
160,0.72963651221123937,0.72796078431372546,0.72879768501152364,0.72002561150955702,0.70615686274509804,0.71302380459475767,0.72940198160889036,0.67439215686274512,0.70081924709093535
170,0.74550371163963747,0.7377551020408164,0.7416091673007208,0.72059038935201092,0.72725340136054406,0.7239065636853782,0.72385678717288804,0.6825255102040817,0.70258381935169711
180,0.76384834412350333,0.76740740740740743,0.76562373964010666,0.7472861530484034,0.74168350168350172,0.74447428661980064,0.74940964145897015,0.71787878787878789,0.73330542826955347
190,0.75868451988084051,0.75786308973172989,0.75827358234459474,0.73389714106504056,0.74259944495837193,0.73822264781422708,0.75762008062715835,0.72363552266419973,0.74023794651960517
200,0.77218658726265543,0.75070707070707077,0.76129535103069113,0.74443631496328178,0.74161616161616162,0.74302356231931477,0.76563448258666411,0.7328787878787878,0.74889863522133404
210,0.7646419551769148,0.73966836734693886,0.75194786357880805,0.742706537305998,0.72300170068027214,0.73272166405552075,0.75693825489873623,0.69859693877551021,0.72659836740805039
220,0.76139220670927987,0.76707317073170733,0.76422213128402816,0.75072060291674858,0.7448780487804878,0.7477879138836514,0.78608080540384395,0.73512195121951218,0.75974784159263331
230,0.76676739230230984,0.74879089615931727,0.75767253189658679,0.7295621914552306,0.71650071123755343,0.72297246281098348,0.75202048833240787,0.7141536273115221,0.73259806434285635
240,0.78684509369936173,0.7587195121951219,0.77252639376947763,0.77468548472819576,0.73884146341463408,0.75633903700886262,0.78382829099514439,0.72170731707317071,0.75148619522320226
250,0.78246474945687305,0.75085227272727262,0.76633263305428911,0.74364214627317426,0.73825757575757578,0.74094007843724019,0.79060915461703918,0.76022727272727275,0.77512061338018179
260,0.79012360883050547,0.73540229885057484,0.76178151466902466,0.76253712826126618,0.73505747126436793,0.74854518495520939,0.76475973670347241,0.69551724137931037,0.72849684049434271
270,0.79759728698560228,0.7533333333333333,0.77483365792201075,0.77632537936973434,0.78913978494623649,0.78268013481069776,0.81980806983910059,0.78913978494623649,0.80418164206612031
280,0.75684644650454325,0.70380952380952377,0.72936509066780186,0.7080715514275886,0.72357142857142853,0.71573758423709766,0.759142156862745,0.71333333333333337,0.73552518712097248
290,0.6768255355755356,0.61428571428571432,0.64404094939535139,0.67291277350100875,0.66648351648351645,0.66968271440383043,0.72223817118553968,0.62307692307692308,0.66900303036843189
